06/10/2020,20:39:03	-38.60299	145.18655	-6	0.0	4	1.4	191
06/10/2020,20:40:21	-38.60318	145.18670	0	0.0	5	1.3	227
06/10/2020,20:41:07	-38.60341	145.18662	10	0.0	4	2.1	168
06/10/2020,20:42:04	-38.60367	145.18644	-2	0.0	5	1.3	225
06/10/2020,20:43:18	-38.60393	145.18653	8	0.0	5	1.3	224
06/10/2020,20:44:04	-38.60412	145.18632	-6	0.0	4	2.1	186
06/10/2020,20:45:03	-38.60404	145.18622	-30	0.0	3	15.2	212
06/10/2020,20:46:12	-38.60451	145.18633	4	0.0	5	1.4	215
06/10/2020,20:47:04	-38.60472	145.18635	22	0.0	4	1.4	198
06/10/2020,20:48:16	-38.60514	145.18621	2	0.0	5	1.4	227
06/10/2020,20:49:04	-38.60543	145.18619	6	3.7	4	1.4	231
06/10/2020,20:50:03	-38.60553	145.18634	16	0.0	4	1.4	181
06/10/2020,20:51:12	-38.60585	145.18606	8	0.0	4	1.4	161
06/10/2020,20:52:12	-38.60612	145.18595	2	0.0	4	1.4	221
06/10/2020,20:53:17	-38.60641	145.18594	-2	3.7	5	1.4	211
06/10/2020,20:54:03	-38.60668	145.18597	-4	0.0	4	2.2	142
06/10/2020,23:10:11	-38.69952	145.20364	12	0.0	3	2.0	273
06/10/2020,23:11:05	-38.69952	145.20348	6	0.0	2	2.2	183
06/10/2020,23:12:05	-38.69953	145.20358	8	0.0	3	2.0	190
06/10/2020,23:13:06	-38.69954	145.20348	-12	0.0	3	2.0	171
06/10/2020,23:14:05	-38.69961	145.20341	-2	7.4	3	2.0	173
06/10/2020,23:15:06	-38.69978	145.20336	-2	0.0	3	2.0	160
06/10/2020,23:16:05	-38.69991	145.20329	-2	0.0	2	2.1	188
06/10/2020,23:17:05	-38.69998	145.20324	-0	0.0	2	2.1	182
06/10/2020,23:18:21	-38.70014	145.20313	-0	0.0	3	2.0	239
06/10/2020,23:19:08	-38.70027	145.20305	-4	0.0	3	2.0	214
06/10/2020,23:20:05	-38.70042	145.20311	6	0.0	3	2.0	221
06/10/2020,23:21:28	-38.70077	145.20335	4	0.0	3	2.0	236
06/10/2020,23:22:04	-38.70085	145.20339	2	0.0	2	2.0	203
06/10/2020,23:33:51	-38.70716	145.20578	2	0.0	3	1.2	205
06/10/2020,23:49:55	-38.71571	145.21093	-12	0.0	3	1.1	171
07/10/2020,00:00:09	-38.72149	145.21280	-8	0.0	3	1.1	223
